"","SampleID","CollectionDate","Location","Latitude","Longitude","SnowColor","CellDensity","Astaxanthin","Lutein","ChlA","ChlB","BetaC","Pheophorbide","Pheophytin"
"80","2024-8-12-CK-algae87","8/12/2024","Camp Kiser",48.81614331,-121.7593908,"red",41444,17.4821044433333,0,139.646050066667,323.6924818,552.803184166667,2.75805777766667,152.539124766667
"81","2024-8-13-CK-algae88","8/13/2024","Camp Kiser",48.8157895,-121.760709,"red",29997,0,0,54.45018476,195.6116319,265.784894066667,0.953227649,87.7984230666667
"82","2024-8-13-CK-algae89","8/13/2024","Camp Kiser",48.81528454,-121.7613268,"red",9629,0,0,25.1048912033333,93.72351456,127.2581078,0.280981538333333,38.0478317733333
"83","2024-8-13-CK-algae90","8/13/2024","Camp Kiser",48.81506527,-121.76121,"red",17961,0,0,40.4634712633333,153.719583866667,173.129656633333,1.14909215,63.5122754466667
"84","2024-8-13-CK-algae91","8/13/2024","Camp Kiser",48.81509173,-121.7609005,"red",2155,0,0,12.83414643,47.1616416833333,37.6202194933333,0.676369932666667,19.3190444766667
"85","2024-8-13-CK-algae92","8/13/2024","Camp Kiser",48.81517964,-121.7606706,"red",4915,7.57759727333333,0,32.3392344033333,84.8519628333333,128.922579166667,2.10240595233333,37.3758414733333
"86","2024-8-13-CK-algae93","8/13/2024","Camp Kiser",48.81523101,-121.7608891,"red",29593,0,0,43.4426508433333,135.796063133333,94.76745893,0.292257037,48.6081236566667
"87","2024-8-13-CK-algae94","8/13/2024","Camp Kiser",48.81534925,-121.7609667,"red",16025,26.42698772,22.3112898233333,53.86982612,149.90678519,133.557457023333,1.267523047,56.49692712
"88","2024-8-13-CK-algae95","8/13/2024","Camp Kiser",48.81563004,-121.7607262,"red",6397,24.34217127,7.49639132766667,19.8670625733333,70.30140881,40.65812346,2.707893224,19.6659464266667
"89","2024-8-13-CK-algae96","8/13/2024","Camp Kiser",48.8157181,-121.7609068,"red",16901,82.8001325766667,31.5390787,73.1818277133333,201.9341129,125.34994981,4.44680222666667,57.18504975
"90","2024-8-13-CK-algae97","8/13/2024","Camp Kiser",48.8159048,-121.7607426,"red",18197,104.634366833333,21.1894729433333,57.32436827,156.945535666667,136.798731443333,5.54832953433333,59.2001116833333
"91","2024-8-13-CK-algae98","8/13/2024","Camp Kiser",48.81359288,-121.7613713,"red",6632,9.35862484166667,2.2922014,12.552893079,38.8079159566667,22.29100885,1.153706125,10.7659891806667
"92","2024-8-13-CK-algae99","8/13/2024","Camp Kiser",48.8138748,-121.7611076,"red",7558,10.9925122746667,10.68578926,22.15749287,60.3436633233333,17.81446551,1.73783193433333,16.38723699
"93","2024-8-13-CK-algae100","8/13/2024","Camp Kiser",48.81390177,-121.7610794,"red",14645,41.8425502266667,41.8971492533333,91.11260087,214.147807366667,105.436485816667,2.427975642,57.97194677
"94","2024-8-12-CK-algae101","8/13/2024","Camp Kiser",48.81394414,-121.7610419,"red",21345,56.883487945,12.0621316145,62.40372921,154.7690062,89.155921065,3.3273470175,43.92988966
"95","2024-8-12-CK-algae102","8/13/2024","Camp Kiser",48.81401055,-121.7609876,"red",12204,56.7922970366667,33.3736566666667,63.5218826733333,179.327797366667,106.359695253333,2.30067192266667,49.7815165233333
"96","2024-8-12-CK-algae103","8/13/2024","Camp Kiser",48.81407049,-121.7609347,"red",20663,68.21643612,51.3295106566667,66.6173707933333,216.588764833333,199.2815965,2.34895578366667,66.4596435566667
"97","2024-8-12-CK-algae104","8/13/2024","Camp Kiser",48.81413983,-121.7608577,"red",5016,24.9939585466667,6.35747428266667,34.1113194433333,104.955664333333,36.5148616633333,1.91938761,28.44267114
"98","2024-8-12-CK-algae105","8/13/2024","Camp Kiser",48.81394995,-121.7607532,"red",14982,106.813861886667,80.5662870033333,115.555013433333,250.705636333333,301.000689533333,8.964803038,69.29181624
"99","2023-8-23-LC-algae1","8/23/2023","Lemon Creek Glacier",58.365245,-134.360759,"algae-free",3394,9.546,4.965,52.374,10.867,2.13,0.044,16.384
"100","2023-8-23-LC-algae2","8/23/2023","Lemon Creek Glacier",58.366894,-134.360113,"algae-free",6676,3.174,3.982,40.429,10.277,1.411,0,13.578
